exp_id,parent_id,date,approach,change,tier,n_features,cv_mean,cv_std,folds,delta,significant,lb,runtime_min,seed,config,verdict,gini_pred,total_rel_err,best_iters,notes
e0001,e0000_naive_geo3,2026-08-11T00:02:32,gbdt_direct,"LightGBM on log1p(gmv_30d), base multi-window feature block, vs naive geo3",confirm,62,1.77847,0.02175,"[1.79221, 1.80564, 1.78655, 1.76335, 1.74463]",-0.15015,yes,1.6766,11.9,0,configs/e0001_lgbm_base.yaml,keep,0.772,-0.5537,,"fast honest defaults per CLAUDE.md 5; no tuning before the feature set is settled; LB 1.6766, CV-LB gap +0.1019, delta transfer 93.4%; all folds hit the 3000-tree cap -> undertrained"
e0001s1,e0000_naive_geo3,2026-08-11T08:25:29,gbdt_direct,"e0001 replicate, seed 1 -- noise-floor measurement",confirm,62,1.77871,0.02177,"[1.79292, 1.80548, 1.78691, 1.76353, 1.74474]",-0.14991,yes,,10.9,1,configs/e0001s1_seed.yaml,,0.7724,-0.5522,,CLAUDE.md 3.4: sigma_noise = sd of the metric across seeds
e0001s2,e0000_naive_geo3,2026-08-11T08:27:20,gbdt_direct,"e0001 replicate, seed 2 -- noise-floor measurement",confirm,62,1.77862,0.02199,"[1.79291, 1.80582, 1.78672, 1.76324, 1.74441]",-0.15,yes,,12.8,2,configs/e0001s2_seed.yaml,,0.772,-0.5531,,CLAUDE.md 3.4: sigma_noise = sd of the metric across seeds
e0001s3,e0000_naive_geo3,2026-08-11T08:25:46,gbdt_direct,"e0001 replicate, seed 3 -- noise-floor measurement",confirm,62,1.77869,0.0217,"[1.7927, 1.80507, 1.78739, 1.76371, 1.74461]",-0.14992,yes,,11.2,3,configs/e0001s3_seed.yaml,,0.7729,-0.5512,,CLAUDE.md 3.4: sigma_noise = sd of the metric across seeds
e0001s4,e0000_naive_geo3,2026-08-11T08:27:21,gbdt_direct,"e0001 replicate, seed 4 -- noise-floor measurement",confirm,62,1.77861,0.02149,"[1.79211, 1.80541, 1.78666, 1.76374, 1.74511]",-0.15001,yes,,12.8,4,configs/e0001s4_seed.yaml,,0.7723,-0.5526,,CLAUDE.md 3.4: sigma_noise = sd of the metric across seeds
e0002,e0001,2026-08-11T00:47:34,gbdt_direct,+counts feature block (vs e0001 base-only),confirm,109,1.77594,0.02251,"[1.78832, 1.8043, 1.78567, 1.7609, 1.74051]",-0.15268,yes,,12.4,0,configs/e0002_counts.yaml,,0.7722,-0.5728,,"BACKLOG.md band A; one block added, everything else identical to e0001"
e0003,e0001,2026-08-11T00:47:22,gbdt_direct,+trend feature block (vs e0001 base-only),confirm,82,1.77889,0.02257,"[1.79346, 1.80702, 1.78687, 1.76344, 1.74365]",-0.14973,yes,,12.2,0,configs/e0003_trend.yaml,,0.771,-0.5669,,"BACKLOG.md band A; one block added, everything else identical to e0001"
e0004,e0001,2026-08-11T00:46:36,gbdt_direct,+rank feature block (vs e0001 base-only),confirm,70,1.77695,0.02227,"[1.78853, 1.80588, 1.78605, 1.76199, 1.74228]",-0.15167,yes,,11.4,0,configs/e0004_rank.yaml,,0.7757,-0.5811,,"BACKLOG.md band A; one block added, everything else identical to e0001"
e0005,e0001,2026-08-11T00:46:28,gbdt_direct,+visit feature block (vs e0001 base-only),confirm,76,1.77812,0.02202,"[1.79262, 1.80526, 1.78627, 1.76246, 1.74398]",-0.1505,yes,,11.3,0,configs/e0005_visit.yaml,,0.7723,-0.5523,,"BACKLOG.md band A; one block added, everything else identical to e0001"
e0006,e0001,2026-08-11T01:11:46,gbdt_direct,+channel feature block (vs e0001 base-only),confirm,76,1.7782,0.02187,"[1.7921, 1.80514, 1.78652, 1.76344, 1.74378]",-0.15042,yes,,36.6,0,configs/e0006_channel.yaml,,0.7718,-0.5522,,"BACKLOG.md band A; one block added, everything else identical to e0001"
